x	44_NDMM_BM	25_SMM_BM	3_SMM_BM	23_SMM_BM	32_MGUS_BM	8_SMM_BM	34_SMM_BM	33_SMM_BM	10_SMM_BM	12_SMM_BM	17_SMM_BM	9_SMM_BM	29_NDMM_BM	36_NDMM_BM	6_SMM_BM	20.1_SMM_BM	11_SMM_BM	14_SMM_BM	28_SMM_BM	40_SMM_BM	42_MGUS_BM	1_SMM_BM	41_SMM_BM	7_SMM_BM	30_SMM_BM	2_SMM_BM	16_SMM_BM	15_SMM_BM	13_SMM_BM	39_SMM_BM	22_SMM_BM	24_NDMM_BM	43_MGUS_BM	26_SMM_BM	5_SMM_BM	19_SMM_BM	37_MGUS_BM	4_SMM_BM
44_NDMM_BM	1.0	0.5909973676543916	0.393438266061108	0.4548823805207263	0.5709772438814796	0.6796120182253694	0.535694387360791	0.5338065221302204	0.5714899600522744	0.36794742674474534	0.760725980426754	0.5805013105303853	0.473657214675612	0.5836327512951022	0.5092651365664922	0.4635522242610417	0.5418040357045466	0.5456371182956518	0.4833001502296841	0.554862671959738	0.569547952115664	0.3962264054486523	0.3735736567387449	0.43356591621482715	0.4385959765917872	0.4279988707881266	0.5547896519662151	0.5782629507197443	0.46923664111910574	0.3981492855785917	0.5744000108434941	0.5254373145204916	0.558929204552648	0.5451923350722336	0.5822202148790029	0.540371190855351	0.5956768671620293	0.5369188243455918
25_SMM_BM	0.5909973676543916	1.0	0.3033302180116643	0.4168516544031462	0.444788193459351	0.4967260730670421	0.39744067284417645	0.46277769322220413	0.4605438196596077	0.39205390100613163	0.5886343438128928	0.4068300180152336	0.4223633714823895	0.45915148888140567	0.48635148174646586	0.41672289234049587	0.4489775224731032	0.448289199264794	0.4164975490389953	0.45446477807852276	0.44485476670089763	0.44046236314197806	0.27123595391463867	0.42908523057965087	0.38416551174903474	0.2783049940962897	0.4301555299124814	0.5137473377706469	0.3590827298427765	0.33280621805807714	0.48651114252341243	0.3759513209237721	0.44348391327551706	0.44283594452401454	0.3930626978990506	0.4406827510047865	0.46589980345865734	0.4656222779235467
3_SMM_BM	0.393438266061108	0.3033302180116643	0.9999999999999997	0.3454887626760811	0.6502927031020381	0.6213441788658096	0.7027382645047302	0.566523967548682	0.49386452661066926	0.2679982033736688	0.47172672309653396	0.6628159050862802	0.6683185756810679	0.5889442541551725	0.11854918729323849	0.5804300271534729	0.6635276624147444	0.46619831028536773	0.6492077396292774	0.6755847101408738	0.6266855819424831	0.11816997064402274	0.8003902757859457	0.19931563908148497	0.60585331445787	0.6932584783510997	0.5214351483776182	0.3518505037007719	0.7608739809168897	0.6972309053991629	0.26388191226447594	0.6756618054480189	0.5263990285208618	0.4653032428870386	0.6232609371726573	0.5967618237670868	0.4997494983308556	0.6473704587212499
23_SMM_BM	0.4548823805207263	0.4168516544031462	0.3454887626760811	1.0	0.4699970961032864	0.4592217715575344	0.43708349379451905	0.4666008830528264	0.4486318680961388	0.36370895318157537	0.4833735797276159	0.42176527804955544	0.4102274573375758	0.4964639385648179	0.3274526933275831	0.4188526238735928	0.5191778652711906	0.449408882469693	0.408824866562817	0.4983841974586565	0.44246949133114105	0.2503798862182035	0.3229490527211901	0.37399853992425247	0.4143980199208768	0.3579002200996033	0.48216727676635307	0.4800459973041748	0.4189255901874023	0.3421422545750314	0.4577980196000847	0.4301798769709299	0.48340641484313995	0.4348508942669517	0.4396513711968595	0.48099832169481904	0.39494985231005136	0.4671090734623718
32_MGUS_BM	0.5709772438814796	0.444788193459351	0.6502927031020381	0.4699970961032864	0.9999999999999996	0.6921810828618131	0.7064485199725934	0.608907390413524	0.6207354128057817	0.3659595418319823	0.6236249472460613	0.6882505447429255	0.7071105558924229	0.7703131881512248	0.2859474655519039	0.667071007168468	0.6990961206137648	0.5667301286651573	0.6430687644397999	0.7245214189346195	0.6834521792484818	0.22586084376381316	0.6810708542746902	0.3678575331610565	0.6623208014949163	0.5925865961618897	0.6523584388781581	0.5704222320638012	0.6672434700053433	0.6667714083362128	0.483582197831975	0.7604666245441087	0.6879149329836408	0.5520631768635689	0.65432181395172	0.6418365005298634	0.5900079422303478	0.6685206074382259
8_SMM_BM	0.6796120182253694	0.4967260730670421	0.6213441788658096	0.4592217715575344	0.6921810828618131	0.9999999999999999	0.6960008136445026	0.5697795294911231	0.6615960611997632	0.30751028453899415	0.7392801880244	0.6975149141436515	0.6059221255324703	0.6731345377479294	0.32012060198119163	0.5116762157110395	0.6528820749946376	0.5698317547442283	0.5495920704325091	0.6806753197609099	0.6853651579927401	0.30172318730468123	0.6915846405616775	0.3505837339316403	0.593930555318615	0.681325260542597	0.6589017188971964	0.49330800819529536	0.6695494669712327	0.6257701320424408	0.45477852985181727	0.7059906746958606	0.594222926714886	0.5684719023673369	0.7396287715212689	0.6326393828706626	0.6485152588605214	0.6280510816767894
34_SMM_BM	0.535694387360791	0.39744067284417645	0.7027382645047302	0.43708349379451905	0.7064485199725934	0.6960008136445026	0.9999999999999998	0.6643411913826875	0.5450830097822583	0.2759940250982447	0.576363657270336	0.7780203311763008	0.6706650266962122	0.6608943242350568	0.2076477566771023	0.5402639515144358	0.6592568439473342	0.5042780346532553	0.5849926984290778	0.6831131804188415	0.7555523198994606	0.19271317963253326	0.7153213701998213	0.2826254752119212	0.6179134136916535	0.7786452573873052	0.588386307685782	0.43170465519051043	0.7596244218178916	0.6740746961554849	0.39392463105614123	0.7332449917035063	0.6831936836769031	0.5454278982642539	0.7175591861531538	0.6791601704473658	0.5585845692488848	0.638952991059089
33_SMM_BM	0.5338065221302204	0.46277769322220413	0.566523967548682	0.4666008830528264	0.608907390413524	0.5697795294911231	0.6643411913826875	1.0	0.5724724863225192	0.43920928422573774	0.5354878423303655	0.6394150887254582	0.560553187769912	0.6096822529532999	0.3369400250790232	0.6100579671907095	0.6358189985317674	0.5732990395276606	0.6128862281721488	0.6644847192864156	0.6206733727061224	0.24862362047837744	0.5162378078708134	0.46023695030559697	0.5266382630368506	0.537108637966704	0.5421636636328755	0.5524779725718175	0.6459061286339048	0.49748404184268963	0.5447439281063937	0.5735177650537282	0.6061750819931367	0.620379588575192	0.6318443358890617	0.6584286557158844	0.5128861289027122	0.6707758274830401
10_SMM_BM	0.5714899600522744	0.4605438196596077	0.49386452661066926	0.4486318680961388	0.6207354128057817	0.6615960611997632	0.5450830097822583	0.5724724863225192	1.0	0.5248696679894024	0.6657291068086627	0.6073514332387928	0.5793893036239577	0.7136593196468108	0.45246624635476296	0.6346747666404552	0.6558600505062634	0.6506075948203942	0.6082659118479143	0.6666546513515854	0.5878663358441751	0.2676418240761686	0.5075849793405948	0.5475107768651846	0.5631395096793906	0.4551028270243632	0.7076417262310263	0.576416387371397	0.4988741861966482	0.4676129373382213	0.6277258354476769	0.6200996315294107	0.545482207460271	0.5888409363494808	0.5660950205424543	0.5587027402622756	0.5145124155383601	0.6370007293626617
12_SMM_BM	0.36794742674474534	0.39205390100613163	0.2679982033736688	0.36370895318157537	0.3659595418319823	0.30751028453899415	0.2759940250982447	0.43920928422573774	0.5248696679894024	1.0	0.4320093319910063	0.2980633559871403	0.3513841325499096	0.4406386531718836	0.474448579912323	0.6627920958960111	0.4844558242891173	0.5950403055205798	0.5433796695035662	0.5006990629662913	0.32529408613531885	0.2910047581936871	0.15457670830595632	0.6494251691477773	0.27023229906731394	0.11058056490484308	0.4202529786154712	0.5108813047988123	0.27143656274121847	0.19417040934038726	0.560688737824465	0.304676990406975	0.4017893006599167	0.43756313584994455	0.2722170025967845	0.35319908485375334	0.3089930406470713	0.5500289089492952
