x	44_NDMM_CTC	25_SMM_CTC	3_SMM_CTC	23_SMM_CTC	32_MGUS_CTC	8_SMM_CTC	34_SMM_CTC	33_SMM_CTC	10_SMM_CTC	12_SMM_CTC	17_SMM_CTC	9_SMM_CTC	29_NDMM_CTC	36_NDMM_CTC	6_SMM_CTC	20.1_SMM_CTC	11_SMM_CTC	14_SMM_CTC	28_SMM_CTC	40_SMM_CTC	42_MGUS_CTC	1_SMM_CTC	41_SMM_CTC	7_SMM_CTC	30_SMM_CTC	2_SMM_CTC	16_SMM_CTC	15_SMM_CTC	13_SMM_CTC	39_SMM_CTC	22_SMM_CTC	24_NDMM_CTC	43_MGUS_CTC	26_SMM_CTC	5_SMM_CTC	19_SMM_CTC	37_MGUS_CTC	4_SMM_CTC
44_NDMM_CTC	1.0	0.6013638131928102	0.3348445860065763	0.3101353388798347	0.3774463449089989	0.6122960808255996	0.5229022642342757	0.41361597894037533	0.4913508584639294	0.3775692401097929	0.5925844746805173	0.49291059865561393	0.3123477356238832	0.28426224608993655	0.4962574280474776	0.2964981640107446	0.40105378119773477	0.4927826821185538	0.368244836435992	0.45590650580737696	0.49711343376649775	0.34863128515691344	0.4302566591175066	0.1823084616507107	0.23387768071949552	0.26015351634956424	0.38852328564893435	0.15924050953929353	0.3563121062326257	0.1660975274089915	0.16861203934476393	0.4591420583291785	0.3821500191634122	0.4083312153877843	0.31106231760163916	0.3511119332655408	0.3348268704257945	0.13493192514990268
25_SMM_CTC	0.6013638131928102	1.0	0.299161138226977	0.2779355213866268	0.35467625841135875	0.5575203237786978	0.5191708215718079	0.38696117068024444	0.4651160388386197	0.31776299729159685	0.47405954584704973	0.41677241821128735	0.33923443889571137	0.4142533573480284	0.3663494339566353	0.23521873420906547	0.3841028927473974	0.40320341737550813	0.39323824655757833	0.5068469760181781	0.4712924509047762	0.23381961909650728	0.4966306141420762	0.10529296222216566	0.2873700999653458	0.15448331391597236	0.3253900459865642	0.03226980646125682	0.32258266421159465	0.1666311617143341	0.04416789998912008	0.44659243062390197	0.31072986136562764	0.3611536286694837	0.20163863281629008	0.35131378657642864	0.2807230723925631	0.14832246089514534
3_SMM_CTC	0.3348445860065763	0.299161138226977	0.9999999999999998	0.34738270977846913	0.4250818342225904	0.3470698988145852	0.39692570894341817	0.5125059380025274	0.474862128365531	0.575227882523156	0.35650289018994824	0.43738823187862674	0.44354894294297165	0.1747579896896631	0.44115938056584875	0.6610910786043446	0.4899933643569707	0.3304922157966577	0.543773530671335	0.4291883494703338	0.4216012587252767	0.2910342195426292	0.3493873962270535	0.4307408937756366	0.2657276331560884	0.3044404301152627	0.479538704719512	0.3814356550993231	0.5543657674589362	0.27878178571563045	0.329936837959835	0.34864388383364775	0.3961524070161284	0.41120751597321537	0.32485272371650104	0.3578098710615314	0.21583488648674026	0.4174988595283498
23_SMM_CTC	0.3101353388798347	0.2779355213866268	0.34738270977846913	1.0	0.2681240962905305	0.3077758337182102	0.3587302528428109	0.3660973331767303	0.34227394118208193	0.39640581696830457	0.31599111847158523	0.36435654751760593	0.33508220899157953	0.14404414229391405	0.324797875669607	0.3453258862702864	0.3938806378882354	0.2789549929332945	0.31569962203847696	0.31739393229000956	0.3591140475167544	0.24852396550005545	0.2811301691369022	0.2809457314472593	0.24058483057202823	0.30457934943765397	0.3804166719554594	0.25524599134217346	0.34978837927752193	0.17923574742157647	0.258860640609748	0.3174965351756816	0.39446217627760916	0.2936323344389524	0.27161113886373	0.3453749526359965	0.20802500229789755	0.19615523717130198
32_MGUS_CTC	0.3774463449089989	0.35467625841135875	0.4250818342225904	0.2681240962905305	0.9999999999999996	0.4381541795979094	0.3870096774762521	0.393910952996618	0.4782882545832913	0.46315768643938987	0.3691132567868781	0.4138266136885223	0.4441002155296503	0.20803616493995028	0.425499420002748	0.45984400069091347	0.43874183604037603	0.3754279456074264	0.4652000365501276	0.45005982058226784	0.43580325620068167	0.2215217386821513	0.3821633141671978	0.25527953615686094	0.2865084213277666	0.17923655617976236	0.4809563418091052	0.14380880407406235	0.30791022284903485	0.49508978842214757	0.21573324954906076	0.3362709836410495	0.3643638440425186	0.3399779334165004	0.2058506848752311	0.250979929287842	0.21055568506536035	0.23987589475071353
8_SMM_CTC	0.6122960808255996	0.5575203237786978	0.3470698988145852	0.3077758337182102	0.4381541795979094	1.0	0.6412244704878467	0.4305508361831498	0.6304326270086879	0.3507537981994864	0.6507398949688862	0.5506816571926768	0.4072159769298944	0.5330226007872454	0.3645862750847357	0.2816187539338273	0.5134607751066377	0.4712555394796317	0.4874718118320769	0.653439347939127	0.557618952076673	0.15341944336970928	0.7082833552965089	0.07934130720486482	0.2331397388280416	0.26840550091578164	0.4551261612172591	0.003482505287262348	0.39097890633469556	0.23808758966020277	0.05266085358739418	0.5824552574439295	0.3296198377176296	0.43560576881972174	0.28980667651623143	0.3892223773730684	0.3897276764163716	0.18424826595446106
34_SMM_CTC	0.5229022642342757	0.5191708215718079	0.39692570894341817	0.3587302528428109	0.3870096774762521	0.6412244704878467	1.0	0.6009817548905629	0.5795993458766382	0.3918791839585991	0.5460128096163772	0.636895878475976	0.45600472812456894	0.49084756306895827	0.3510069750869833	0.36218022167446745	0.5215300671775283	0.44166981407942046	0.5218008170082599	0.6231629203234206	0.6541685345594526	0.15756670007651358	0.6427151849392596	0.14733704177751694	0.2465311804856275	0.41100597662212457	0.4302461837995124	0.051867213493618516	0.477054985594053	0.22245511577764404	0.11489880596687829	0.5418629610051976	0.46758339457206194	0.48407356280843145	0.3180010013300994	0.451460316272576	0.322802139110992	0.23108588205665465
33_SMM_CTC	0.41361597894037533	0.38696117068024444	0.5125059380025274	0.3660973331767303	0.393910952996618	0.4305508361831498	0.6009817548905629	1.0	0.4787354924656549	0.5063184857344762	0.4094604883285988	0.5348666999371373	0.3859057383391239	0.2571376813749323	0.4045960990115436	0.5051207986436329	0.4841753743283798	0.35589782691331545	0.4988565453054408	0.5052913244210324	0.5157776681941614	0.234444998377067	0.4613965222054382	0.33685808882483437	0.2195054224931928	0.35312259013873726	0.4054197464824231	0.21844190574059594	0.5237031804490422	0.2436270389036012	0.2500476722554239	0.42074538991356575	0.4504268435826063	0.4917112836980395	0.3442463241441075	0.4465120727446402	0.2630033633183874	0.2856643281859103
10_SMM_CTC	0.4913508584639294	0.4651160388386197	0.474862128365531	0.34227394118208193	0.4782882545832913	0.6304326270086879	0.5795993458766382	0.4787354924656549	0.9999999999999998	0.492866147634161	0.5331729289028085	0.5542367480033881	0.5408559186658188	0.4424826487706689	0.4413393596699769	0.4483415727845809	0.5614501732388355	0.43787931674849584	0.5496615416729769	0.6192413619033833	0.5460302670845656	0.20718420811310878	0.6531487427890862	0.26014324096028135	0.4366140962140066	0.29593046163711023	0.5751141628054363	0.1377182423020292	0.4326829155552091	0.30516367566201763	0.2056962876450401	0.629805882682193	0.39712615471554913	0.4877571636341063	0.28405734060817883	0.3976294534223525	0.3110881467947184	0.25344236842734713
12_SMM_CTC	0.3775692401097929	0.31776299729159685	0.575227882523156	0.39640581696830457	0.46315768643938987	0.3507537981994864	0.3918791839585991	0.5063184857344762	0.492866147634161	0.9999999999999998	0.3762812350279394	0.42213535084132536	0.4732331885666645	0.10726739093521895	0.529155047403834	0.6618401086648712	0.520999938862611	0.34041141159381055	0.4798502812422015	0.4671397471746066	0.3980735973510585	0.39282176296164584	0.3127073839858307	0.5100728149987399	0.34015786153434197	0.25604990452943016	0.469651326543489	0.35746502019461807	0.448302811863384	0.3036498726640101	0.3747779708006336	0.36534487612824806	0.469870949316513	0.4293384660185269	0.27306144806409294	0.3506230608627042	0.2397771965352285	0.3202230753125515
