x	44_NDMM_BM	25_SMM_BM	3_SMM_BM	23_SMM_BM	32_MGUS_BM	8_SMM_BM	34_SMM_BM	33_SMM_BM	10_SMM_BM	12_SMM_BM	17_SMM_BM	9_SMM_BM	29_NDMM_BM	36_NDMM_BM	6_SMM_BM	20.1_SMM_BM	11_SMM_BM	14_SMM_BM	28_SMM_BM	40_SMM_BM	42_MGUS_BM	1_SMM_BM	41_SMM_BM	7_SMM_BM	30_SMM_BM	2_SMM_BM	16_SMM_BM	15_SMM_BM	13_SMM_BM	39_SMM_BM	22_SMM_BM	24_NDMM_BM	43_MGUS_BM	26_SMM_BM	5_SMM_BM	19_SMM_BM	37_MGUS_BM	4_SMM_BM
44_NDMM_CTC	0.8409134066385022	0.6202215429902662	0.26717058579312725	0.407981143745707	0.43439025407129594	0.5642041807659784	0.4048651961025819	0.4385898655654873	0.45815823529508237	0.32754718694271345	0.6562767904654944	0.4367557597651278	0.36125999325305524	0.4454540241475998	0.5191729304856784	0.3438395133121729	0.40980673049777105	0.4511462894542	0.35583445477925163	0.4201702589814199	0.4618621136065897	0.4256353145489777	0.24814593633692725	0.3992034786392329	0.33728098725764794	0.31197702948278255	0.4538678806818988	0.5217917653752635	0.34452779207593226	0.29287967811103205	0.49988297940111004	0.3920098685712744	0.4451885316766811	0.44855807758291655	0.4581364565631852	0.4192254628256621	0.4784222403284028	0.4277295040137692
25_SMM_CTC	0.5839578590547079	0.8219050249074814	0.4015099230626928	0.41706461529803057	0.5090498045487545	0.5499471002757993	0.48831603543379665	0.48787195829803137	0.4395381112230079	0.3084474840348802	0.5597225574586456	0.48519112270564513	0.48790828613644494	0.49897141978782245	0.38803579791608744	0.39117037602527327	0.4828373663614013	0.42038403530623325	0.43782230584768644	0.4918858196928969	0.5153198050995957	0.35958641375990164	0.3800565630242026	0.3507788022498815	0.4407178768825651	0.3893421757701197	0.4331957880020063	0.46397621274511947	0.44919170766551564	0.4181529843526456	0.43017917848550813	0.46745607407981155	0.4936686622808971	0.4450720916735905	0.4654078614121314	0.4908811409048046	0.49869187689869154	0.4913479315432414
3_SMM_CTC	0.3288700337639163	0.3640007554127999	0.36226322699209096	0.2976616440980471	0.30712328977916487	0.2893025168072373	0.24252424987601012	0.3973848541451589	0.40937999082038423	0.5473908778981819	0.3623583142106644	0.2699783200148177	0.28607946147526797	0.33448879404190324	0.4113098821928005	0.4786438964117986	0.377703252576402	0.4744556618908279	0.4240724151918718	0.3594807105160419	0.2796468418086433	0.27926536819519043	0.14335113532251031	0.5015956822963621	0.22018268741161273	0.13191810288126818	0.3743895653773268	0.4820781897425632	0.25322575292581156	0.16228900442120306	0.41546504074292395	0.22617870564606712	0.3034453550164181	0.36669358869645796	0.2661948105304031	0.3074172719840021	0.25154347483708694	0.4776502320482514
23_SMM_CTC	0.29139529717145496	0.32157014200153	0.13313945949722378	0.7387458509275234	0.23139248140979232	0.25917060134981457	0.20377311748645754	0.27634514750456324	0.27823303404410293	0.32513984194796075	0.3042257084268304	0.20701395091403896	0.2015791621070916	0.2546159502587859	0.2993577604583109	0.2463570819209039	0.3074580177510031	0.3068214691897574	0.22917998352342073	0.2629806176916214	0.2254206255718322	0.24605376012747635	0.10868164110481894	0.3481662287424729	0.21012598592312243	0.16093449484653738	0.3165348440413172	0.3586741713939845	0.19165987017065927	0.13509609404745676	0.3254181112736351	0.19395160649474497	0.2897113086653429	0.2652086422536374	0.2389506473489889	0.2799615739939074	0.21116383319556556	0.2728447516803429
32_MGUS_CTC	0.3984383175577628	0.42726042174752427	0.23947586474210014	0.30035407101388606	0.42543151977879706	0.39123291159485707	0.2696867890148235	0.36010295790852376	0.48115981907405153	0.4807201953728617	0.4276756584843755	0.3086341355502181	0.3086853556866534	0.4184220543922562	0.39434759927397406	0.4444719786535054	0.37100550775755164	0.4827122636129081	0.40332035997728083	0.4067310714724234	0.362304083826626	0.2448111262104544	0.18208677204292562	0.46923953080219555	0.2818544289704203	0.17974382222746194	0.44578572560447677	0.4279140167202348	0.24981291214921578	0.2549391403976127	0.4546058201906403	0.28148867669021854	0.3384969810424258	0.36235824377042913	0.30711065664856335	0.3293296149436379	0.3243413185537595	0.4153872582449005
8_SMM_CTC	0.6820507611265143	0.546470120392199	0.5202435562952861	0.4577759015144301	0.6149073970254335	0.944010311319986	0.6089423979550496	0.5313491476941813	0.6532963820079598	0.3520337756681823	0.7384389662404234	0.6149970121998732	0.5362600113198417	0.6166785363828328	0.38456014322882254	0.48145413762344624	0.5959958905024738	0.5691131289241341	0.5024884537980593	0.6217688916329219	0.6152743537802033	0.3568147613159457	0.5847936335431029	0.4052339894545992	0.5323382035257549	0.5855420055584456	0.6453304543133144	0.5191298499280587	0.579384694043722	0.5409181961492957	0.4806011637814111	0.6166107667561067	0.5424033050400742	0.5473740795043135	0.6703921424798333	0.5752729830851414	0.6142060776823457	0.587516001918095
34_SMM_CTC	0.5632284188731096	0.5102431933153467	0.5051498228247986	0.47792683515465795	0.5544487332021268	0.6381579114027244	0.7583985315294967	0.6338848174573863	0.5689401732412956	0.38659896486764966	0.601720104024652	0.6191426497388896	0.5251067139414767	0.5605956465742082	0.3649060418037015	0.5061249153092211	0.5795178263537657	0.5702041221707245	0.5017181672369218	0.5805935025080328	0.6359472746105171	0.29633706240132357	0.5118453759035861	0.43525711254774124	0.513227372617987	0.5913129583135122	0.5930507526293181	0.5361699449076592	0.5768985760191909	0.5052104179061833	0.5112532721186787	0.5473064959555681	0.6044019326376554	0.5614330757266347	0.6301581710417267	0.590851063566012	0.5053448843030515	0.5854829561033384
33_SMM_CTC	0.42697627868329574	0.4332526947139777	0.3207211354382453	0.39841782339589454	0.3939823571914254	0.39749213932286676	0.4180447312465652	0.7386461339893553	0.4576107925567402	0.4854039825075571	0.44023253836828535	0.4145217001447523	0.33444947460377245	0.40672249571039243	0.3971014320933304	0.47441814641553426	0.44511007229004085	0.5157829619237213	0.42942947380831487	0.44658960290252403	0.4163717586061103	0.2716300698987691	0.27975004025381056	0.5241281126897163	0.3256460684921779	0.3228701336416965	0.4402369737426012	0.5162207958130037	0.3978895753315287	0.28277361862098155	0.5066006092244605	0.33225869730871627	0.4275739899399603	0.5060582025934721	0.4425323609680467	0.4626909797545955	0.3583203549214943	0.5041993955456042
10_SMM_CTC	0.5195550130191584	0.5154545582986677	0.4062581660637155	0.42227849230761405	0.5354502404940875	0.5910435925228239	0.4646892740944727	0.5030115949556351	0.7974371608501384	0.47310685056413326	0.5958133228090652	0.49423869265339004	0.5011741044772201	0.5972522230976292	0.4327023057089845	0.5217300375516405	0.5535055506668666	0.5704465093434737	0.4954857227120233	0.5584098699719886	0.49756794485615696	0.3222453734269892	0.4331077896522971	0.5237461672576078	0.5423551684805141	0.37593743813305847	0.6301130557010163	0.5426817334942339	0.4243202695892984	0.4165500144425925	0.5348599281018166	0.5204668277122958	0.4635236247086686	0.5177285457586304	0.47955444197173763	0.48534382345003957	0.4608244290966654	0.5418541338472306
12_SMM_CTC	0.34748081860383073	0.4155519863961844	0.14679184737309284	0.35754672122960096	0.2779511287071581	0.26438679823080435	0.19825484692950066	0.3901547931295347	0.4340767872258038	0.836797219695922	0.39367400527321017	0.2238254693524546	0.2577738745184096	0.34092850459257784	0.47499723955681933	0.49460363019337206	0.37793199798486454	0.5274456780662071	0.37399771046160174	0.38422538655494615	0.24782013128349767	0.3713959890217012	0.050312163056409995	0.6418581185227222	0.21724275216270791	0.05028184649902337	0.36824032686825947	0.5185933910623765	0.19011940027679256	0.11023203163694506	0.5164467688386702	0.20737609293804984	0.3284681831684787	0.38260054362839385	0.20859186192492607	0.29009572070091305	0.2644885485506234	0.44245619820822335
